用户ID,兴趣类别,观看视频数,点赞视频数
8124,"CAT_176, CAT_202, CAT_094, CAT_187, CAT_126, CAT_037",112,50
8125,"CAT_127, CAT_108, CAT_044, CAT_142, CAT_097, CAT_153",101,45
8126,"CAT_217, CAT_182, CAT_188, CAT_151, CAT_111",101,52
8127,"CAT_168, CAT_100, CAT_029, CAT_063, CAT_079",133,50
8128,"CAT_178, CAT_173, CAT_022, CAT_035, CAT_001, CAT_207",127,51
8129,"CAT_160, CAT_120, CAT_110, CAT_201",93,39
8130,"CAT_014, CAT_162, CAT_010, CAT_008, CAT_098, CAT_021",134,61
8131,"CAT_000, CAT_037, CAT_170, CAT_094, CAT_028, CAT_029",91,35
8132,"CAT_165, CAT_180, CAT_059, CAT_148, CAT_131, CAT_143",142,54
8133,"CAT_209, CAT_023, CAT_034, CAT_107, CAT_068, CAT_185",138,58
8134,"CAT_097, CAT_130, CAT_194, CAT_159",93,47
8135,"CAT_022, CAT_172, CAT_171, CAT_078, CAT_120, CAT_195",125,48
8136,"CAT_029, CAT_085, CAT_073, CAT_181, CAT_154, CAT_196",125,62
8137,"CAT_058, CAT_144, CAT_038, CAT_161, CAT_069, CAT_023",111,44
8138,"CAT_116, CAT_087, CAT_006, CAT_191, CAT_182, CAT_019",127,53
8139,"CAT_120, CAT_026, CAT_117, CAT_174, CAT_060",132,62
8140,"CAT_100, CAT_035, CAT_099, CAT_185, CAT_002",143,53
8141,"CAT_129, CAT_082, CAT_021, CAT_222, CAT_178, CAT_181",116,52
8142,"CAT_168, CAT_137, CAT_142, CAT_093, CAT_139",133,57
8143,"CAT_073, CAT_046, CAT_043, CAT_168, CAT_205",118,48
8144,"CAT_174, CAT_181, CAT_135, CAT_191, CAT_204",115,42
8145,"CAT_046, CAT_030, CAT_028, CAT_102",92,39
8146,"CAT_115, CAT_100, CAT_020, CAT_124",100,32
8147,"CAT_202, CAT_099, CAT_203, CAT_129, CAT_024, CAT_141",123,49
8148,"CAT_026, CAT_120, CAT_059, CAT_209, CAT_033",138,55
8149,"CAT_145, CAT_055, CAT_043, CAT_013",137,41
8150,"CAT_218, CAT_021, CAT_050, CAT_216, CAT_017",128,45
8151,"CAT_080, CAT_086, CAT_218, CAT_103, CAT_047, CAT_137",138,57
8152,"CAT_171, CAT_049, CAT_208, CAT_091",104,41
8153,"CAT_059, CAT_196, CAT_070, CAT_122",155,57
8154,"CAT_195, CAT_062, CAT_185, CAT_170",139,51
8155,"CAT_004, CAT_109, CAT_116, CAT_174, CAT_220, CAT_186",139,47
8156,"CAT_190, CAT_049, CAT_198, CAT_211, CAT_102, CAT_206",120,58
8157,"CAT_115, CAT_208, CAT_126, CAT_031, CAT_222, CAT_052",123,42
8158,"CAT_059, CAT_013, CAT_158, CAT_200, CAT_211",131,57
8159,"CAT_091, CAT_105, CAT_030, CAT_122, CAT_213",126,59
8160,"CAT_181, CAT_138, CAT_114, CAT_102, CAT_195",109,39
8161,"CAT_049, CAT_160, CAT_163, CAT_014, CAT_022",142,59
8162,"CAT_181, CAT_100, CAT_153, CAT_133, CAT_076, CAT_093",102,48
8163,"CAT_167, CAT_218, CAT_032, CAT_129, CAT_199",100,40
8164,"CAT_057, CAT_157, CAT_010, CAT_218, CAT_048, CAT_103",112,49
8165,"CAT_094, CAT_207, CAT_132, CAT_075, CAT_077, CAT_214",131,58
8166,"CAT_208, CAT_161, CAT_142, CAT_159",112,45
8167,"CAT_078, CAT_186, CAT_032, CAT_201, CAT_202",126,52
8168,"CAT_017, CAT_212, CAT_130, CAT_084",110,43
8169,"CAT_130, CAT_003, CAT_093, CAT_137, CAT_211",134,45
8170,"CAT_021, CAT_212, CAT_131, CAT_003, CAT_165, CAT_187",124,55
8171,"CAT_203, CAT_000, CAT_035, CAT_116, CAT_206, CAT_024",114,44
8172,"CAT_017, CAT_007, CAT_201, CAT_031, CAT_072, CAT_095",117,44
8173,"CAT_124, CAT_025, CAT_064, CAT_024, CAT_008",116,52
8174,"CAT_020, CAT_100, CAT_170, CAT_006, CAT_049, CAT_016",137,52
8175,"CAT_116, CAT_086, CAT_185, CAT_221",120,47
8176,"CAT_207, CAT_084, CAT_179, CAT_188",122,49
8177,"CAT_011, CAT_197, CAT_181, CAT_220, CAT_083",116,41
8178,"CAT_142, CAT_094, CAT_137, CAT_182",149,64
8179,"CAT_056, CAT_031, CAT_211, CAT_043, CAT_196",132,63
8180,"CAT_157, CAT_204, CAT_076, CAT_103, CAT_129, CAT_200",129,54
8181,"CAT_126, CAT_048, CAT_170, CAT_111",139,50
8182,"CAT_022, CAT_107, CAT_183, CAT_211, CAT_078",147,54
8183,"CAT_170, CAT_212, CAT_215, CAT_014, CAT_087, CAT_171",96,40
8184,"CAT_173, CAT_154, CAT_197, CAT_101, CAT_189",103,45
8185,"CAT_183, CAT_076, CAT_009, CAT_199",135,49
8186,"CAT_124, CAT_206, CAT_121, CAT_200, CAT_205",117,39
8187,"CAT_061, CAT_111, CAT_086, CAT_064, CAT_062, CAT_205",98,42
8188,"CAT_115, CAT_158, CAT_078, CAT_096",125,48
8189,"CAT_054, CAT_125, CAT_064, CAT_195, CAT_104",125,51
8190,"CAT_176, CAT_013, CAT_088, CAT_155, CAT_189",120,48
8191,"CAT_200, CAT_023, CAT_044, CAT_059, CAT_076, CAT_184",140,38
8192,"CAT_085, CAT_178, CAT_184, CAT_211, CAT_095, CAT_103",123,59
8193,"CAT_064, CAT_153, CAT_034, CAT_071, CAT_140, CAT_072",136,54
8194,"CAT_144, CAT_023, CAT_188, CAT_140",112,36
8195,"CAT_063, CAT_049, CAT_145, CAT_161, CAT_060",122,45
8196,"CAT_080, CAT_082, CAT_180, CAT_074, CAT_104, CAT_220",111,49
8197,"CAT_131, CAT_095, CAT_109, CAT_058",127,53
8198,"CAT_012, CAT_027, CAT_201, CAT_118, CAT_168, CAT_158",138,56
8199,"CAT_094, CAT_021, CAT_038, CAT_014, CAT_105, CAT_175",127,38
8200,"CAT_163, CAT_196, CAT_111, CAT_146",124,42
8201,"CAT_199, CAT_044, CAT_049, CAT_023, CAT_129",134,59
8202,"CAT_079, CAT_157, CAT_078, CAT_108, CAT_066, CAT_064",103,40
8203,"CAT_163, CAT_172, CAT_197, CAT_156",143,59
8204,"CAT_216, CAT_131, CAT_059, CAT_022",128,51
8205,"CAT_037, CAT_126, CAT_083, CAT_027",122,51
8206,"CAT_137, CAT_115, CAT_193, CAT_173",135,60
8207,"CAT_152, CAT_127, CAT_070, CAT_041, CAT_151, CAT_098",133,45
8208,"CAT_192, CAT_122, CAT_067, CAT_171, CAT_148, CAT_214",127,61
8209,"CAT_009, CAT_081, CAT_208, CAT_170, CAT_205",139,52
8210,"CAT_144, CAT_042, CAT_150, CAT_119",124,40
8211,"CAT_169, CAT_010, CAT_048, CAT_122",123,45
8212,"CAT_182, CAT_178, CAT_014, CAT_140, CAT_125",124,53
8213,"CAT_075, CAT_017, CAT_000, CAT_122, CAT_022, CAT_078",135,51
8214,"CAT_176, CAT_177, CAT_120, CAT_064, CAT_096",151,69
8215,"CAT_161, CAT_108, CAT_124, CAT_029, CAT_146",119,52
8216,"CAT_149, CAT_084, CAT_198, CAT_133, CAT_078, CAT_104",125,55
8217,"CAT_094, CAT_207, CAT_149, CAT_010, CAT_005",140,61
8218,"CAT_099, CAT_189, CAT_126, CAT_170, CAT_088, CAT_202",132,50
8219,"CAT_141, CAT_082, CAT_128, CAT_013, CAT_169",101,43
8220,"CAT_030, CAT_043, CAT_211, CAT_198",139,60
8221,"CAT_002, CAT_034, CAT_018, CAT_127",120,40
8222,"CAT_096, CAT_199, CAT_208, CAT_116, CAT_040",123,40
8223,"CAT_033, CAT_184, CAT_057, CAT_041",154,67
8224,"CAT_076, CAT_129, CAT_149, CAT_003",138,55
8225,"CAT_015, CAT_036, CAT_127, CAT_031, CAT_044, CAT_119",93,39
8226,"CAT_071, CAT_139, CAT_167, CAT_137",138,68
8227,"CAT_040, CAT_125, CAT_122, CAT_180, CAT_177, CAT_116",154,54
8228,"CAT_051, CAT_138, CAT_200, CAT_152, CAT_101",135,59
8229,"CAT_115, CAT_000, CAT_067, CAT_065, CAT_214, CAT_060",109,43
8230,"CAT_107, CAT_071, CAT_040, CAT_162, CAT_123",104,47
8231,"CAT_137, CAT_074, CAT_113, CAT_196, CAT_063",116,44
8232,"CAT_038, CAT_090, CAT_091, CAT_214",122,55
8233,"CAT_123, CAT_100, CAT_002, CAT_005",124,43
8234,"CAT_079, CAT_205, CAT_075, CAT_158, CAT_212, CAT_085",107,36
8235,"CAT_052, CAT_038, CAT_006, CAT_150",124,45
8236,"CAT_221, CAT_174, CAT_145, CAT_183, CAT_026, CAT_168",146,62
8237,"CAT_100, CAT_037, CAT_105, CAT_161",130,49
8238,"CAT_127, CAT_203, CAT_081, CAT_135",150,55
8239,"CAT_179, CAT_084, CAT_054, CAT_208",116,43
8240,"CAT_165, CAT_156, CAT_086, CAT_174",136,63
8241,"CAT_149, CAT_003, CAT_203, CAT_173, CAT_195",157,65
8242,"CAT_220, CAT_074, CAT_126, CAT_123, CAT_022",121,58
8243,"CAT_198, CAT_097, CAT_118, CAT_217",104,40
8244,"CAT_052, CAT_204, CAT_066, CAT_209, CAT_210",130,48
8245,"CAT_209, CAT_193, CAT_038, CAT_018",134,50
8246,"CAT_198, CAT_117, CAT_141, CAT_212",72,31
8247,"CAT_179, CAT_076, CAT_015, CAT_114, CAT_187",128,55
8248,"CAT_159, CAT_065, CAT_173, CAT_163, CAT_075",128,48
8249,"CAT_020, CAT_078, CAT_128, CAT_133, CAT_178, CAT_014",127,49
8250,"CAT_015, CAT_090, CAT_190, CAT_034",127,44
8251,"CAT_057, CAT_138, CAT_183, CAT_167, CAT_179, CAT_115",121,53
8252,"CAT_006, CAT_159, CAT_014, CAT_147, CAT_184",119,47
8253,"CAT_001, CAT_024, CAT_074, CAT_012, CAT_205",107,44
8254,"CAT_065, CAT_079, CAT_106, CAT_181, CAT_209, CAT_149",100,40
8255,"CAT_046, CAT_074, CAT_039, CAT_049",150,59
8256,"CAT_179, CAT_031, CAT_204, CAT_109",128,48
8257,"CAT_135, CAT_067, CAT_016, CAT_104, CAT_019, CAT_060",98,40
8258,"CAT_069, CAT_121, CAT_091, CAT_216, CAT_112",143,59
8259,"CAT_211, CAT_202, CAT_170, CAT_157, CAT_165, CAT_086",114,46
8260,"CAT_023, CAT_222, CAT_074, CAT_046",99,35
8261,"CAT_053, CAT_169, CAT_116, CAT_060, CAT_058",103,44
8262,"CAT_180, CAT_055, CAT_158, CAT_189, CAT_012, CAT_168",141,56
8263,"CAT_035, CAT_030, CAT_131, CAT_022, CAT_183",119,42
8264,"CAT_177, CAT_083, CAT_070, CAT_195, CAT_031",114,49
8265,"CAT_109, CAT_179, CAT_187, CAT_104, CAT_027, CAT_088",112,44
8266,"CAT_066, CAT_023, CAT_203, CAT_105, CAT_094",113,49
8267,"CAT_196, CAT_150, CAT_188, CAT_204",101,40
8268,"CAT_082, CAT_044, CAT_102, CAT_086",106,41
8269,"CAT_071, CAT_212, CAT_113, CAT_083",144,66
8270,"CAT_147, CAT_131, CAT_091, CAT_078, CAT_175, CAT_173",116,45
8271,"CAT_166, CAT_129, CAT_059, CAT_072",111,45
8272,"CAT_176, CAT_161, CAT_085, CAT_071",110,50
8273,"CAT_169, CAT_096, CAT_206, CAT_121",114,41
8274,"CAT_003, CAT_042, CAT_010, CAT_143, CAT_193, CAT_018",95,37
8275,"CAT_143, CAT_075, CAT_103, CAT_134, CAT_110, CAT_128",138,48
8276,"CAT_128, CAT_222, CAT_112, CAT_090, CAT_116",121,50
8277,"CAT_002, CAT_026, CAT_025, CAT_118, CAT_035, CAT_083",131,51
8278,"CAT_155, CAT_063, CAT_038, CAT_215, CAT_122, CAT_096",116,49
8279,"CAT_007, CAT_125, CAT_073, CAT_216, CAT_119",141,55
8280,"CAT_028, CAT_217, CAT_193, CAT_201",78,40
8281,"CAT_040, CAT_178, CAT_198, CAT_185",112,47
8282,"CAT_142, CAT_077, CAT_002, CAT_181, CAT_122",118,47
8283,"CAT_211, CAT_078, CAT_087, CAT_156, CAT_188",94,38
8284,"CAT_008, CAT_046, CAT_022, CAT_185",127,49
8285,"CAT_145, CAT_199, CAT_151, CAT_070, CAT_216, CAT_140",130,53
8286,"CAT_033, CAT_002, CAT_038, CAT_205",148,58
8287,"CAT_138, CAT_190, CAT_083, CAT_004, CAT_067, CAT_196",137,54
8288,"CAT_040, CAT_029, CAT_164, CAT_210, CAT_147",119,47
8289,"CAT_104, CAT_017, CAT_151, CAT_107, CAT_208, CAT_033",103,41
8290,"CAT_125, CAT_133, CAT_150, CAT_010, CAT_104",115,43
8291,"CAT_176, CAT_122, CAT_075, CAT_092, CAT_031",144,53
8292,"CAT_117, CAT_184, CAT_189, CAT_169, CAT_011",94,34
8293,"CAT_100, CAT_000, CAT_112, CAT_030",124,51
8294,"CAT_021, CAT_175, CAT_161, CAT_065",119,49
8295,"CAT_093, CAT_184, CAT_142, CAT_145, CAT_103",90,48
8296,"CAT_108, CAT_054, CAT_198, CAT_003",148,48
8297,"CAT_062, CAT_011, CAT_184, CAT_033",94,35
8298,"CAT_186, CAT_141, CAT_133, CAT_092",114,57
8299,"CAT_165, CAT_185, CAT_027, CAT_048, CAT_064, CAT_061",126,47
8300,"CAT_124, CAT_170, CAT_043, CAT_004",89,35
8301,"CAT_120, CAT_189, CAT_078, CAT_209, CAT_012",139,57
8302,"CAT_090, CAT_194, CAT_192, CAT_216",127,51
8303,"CAT_041, CAT_169, CAT_205, CAT_086, CAT_050, CAT_131",125,48
8304,"CAT_002, CAT_206, CAT_117, CAT_006",84,37
8305,"CAT_190, CAT_131, CAT_153, CAT_031",123,46
8306,"CAT_047, CAT_149, CAT_186, CAT_011, CAT_020, CAT_143",117,45
8307,"CAT_169, CAT_060, CAT_016, CAT_183, CAT_146",127,52
8308,"CAT_015, CAT_212, CAT_197, CAT_001, CAT_215",132,61
8309,"CAT_133, CAT_116, CAT_077, CAT_218",121,43
8310,"CAT_062, CAT_107, CAT_168, CAT_154, CAT_151",124,49
8311,"CAT_222, CAT_072, CAT_219, CAT_030",118,48
8312,"CAT_085, CAT_096, CAT_009, CAT_100, CAT_059",148,57
8313,"CAT_202, CAT_016, CAT_103, CAT_187, CAT_050",142,56
8314,"CAT_138, CAT_086, CAT_208, CAT_178",116,48
8315,"CAT_068, CAT_064, CAT_195, CAT_175, CAT_001, CAT_182",112,47
8316,"CAT_133, CAT_186, CAT_092, CAT_080",153,57
8317,"CAT_214, CAT_006, CAT_062, CAT_031, CAT_153, CAT_101",138,54
8318,"CAT_198, CAT_070, CAT_083, CAT_110, CAT_019, CAT_199",117,43
8319,"CAT_148, CAT_000, CAT_201, CAT_053",88,29
8320,"CAT_056, CAT_063, CAT_167, CAT_220, CAT_134",147,57
8321,"CAT_020, CAT_056, CAT_148, CAT_039",100,34
8322,"CAT_028, CAT_209, CAT_127, CAT_112",144,63
8323,"CAT_098, CAT_129, CAT_079, CAT_008",115,47
8324,"CAT_054, CAT_130, CAT_189, CAT_142, CAT_060",140,52
8325,"CAT_161, CAT_023, CAT_171, CAT_217, CAT_221",127,47
8326,"CAT_198, CAT_110, CAT_152, CAT_169, CAT_001",104,37
8327,"CAT_015, CAT_116, CAT_049, CAT_085, CAT_020, CAT_076",137,60
8328,"CAT_053, CAT_035, CAT_072, CAT_022, CAT_017, CAT_207",114,38
8329,"CAT_180, CAT_182, CAT_137, CAT_203",99,46
8330,"CAT_018, CAT_066, CAT_201, CAT_167, CAT_077, CAT_152",135,39
8331,"CAT_153, CAT_147, CAT_025, CAT_079",117,40
8332,"CAT_205, CAT_147, CAT_038, CAT_126, CAT_138",128,44
8333,"CAT_038, CAT_173, CAT_163, CAT_048, CAT_054",118,44
8334,"CAT_156, CAT_068, CAT_017, CAT_087, CAT_079",151,57
8335,"CAT_149, CAT_103, CAT_177, CAT_134, CAT_172",142,63
8336,"CAT_123, CAT_158, CAT_090, CAT_186",117,39
8337,"CAT_152, CAT_127, CAT_206, CAT_039",157,62
8338,"CAT_028, CAT_085, CAT_221, CAT_143, CAT_161, CAT_164",118,43
8339,"CAT_187, CAT_004, CAT_058, CAT_065, CAT_126",107,46
8340,"CAT_018, CAT_161, CAT_157, CAT_179, CAT_038, CAT_033",79,33
8341,"CAT_113, CAT_017, CAT_192, CAT_018",131,63
8342,"CAT_145, CAT_107, CAT_123, CAT_049",114,50
8343,"CAT_214, CAT_199, CAT_056, CAT_151, CAT_138, CAT_038",123,49
8344,"CAT_053, CAT_073, CAT_156, CAT_204",116,44
8345,"CAT_149, CAT_112, CAT_045, CAT_146, CAT_032",137,61
8346,"CAT_019, CAT_027, CAT_017, CAT_011, CAT_075, CAT_045",139,56
8347,"CAT_204, CAT_060, CAT_062, CAT_112",120,43
8348,"CAT_085, CAT_072, CAT_122, CAT_193, CAT_142",126,56
8349,"CAT_003, CAT_128, CAT_067, CAT_039",101,35
8350,"CAT_171, CAT_180, CAT_015, CAT_155, CAT_094",130,53
8351,"CAT_121, CAT_017, CAT_003, CAT_175",122,60
8352,"CAT_026, CAT_090, CAT_063, CAT_007, CAT_094, CAT_102",132,51
8353,"CAT_034, CAT_146, CAT_150, CAT_156, CAT_137, CAT_119",156,62
8354,"CAT_005, CAT_206, CAT_137, CAT_044",131,62
8355,"CAT_198, CAT_056, CAT_183, CAT_005, CAT_165",139,51
8356,"CAT_215, CAT_150, CAT_073, CAT_017",121,52
8357,"CAT_102, CAT_143, CAT_151, CAT_203, CAT_006",137,43
8358,"CAT_184, CAT_065, CAT_025, CAT_220, CAT_089, CAT_214",110,44
8359,"CAT_114, CAT_175, CAT_044, CAT_096",125,46
8360,"CAT_131, CAT_108, CAT_187, CAT_157",126,49
8361,"CAT_204, CAT_141, CAT_188, CAT_000",122,52
8362,"CAT_014, CAT_157, CAT_093, CAT_052, CAT_213, CAT_067",117,44
8363,"CAT_021, CAT_096, CAT_198, CAT_042",127,41
8364,"CAT_000, CAT_027, CAT_051, CAT_055, CAT_183, CAT_054",125,53
8365,"CAT_072, CAT_145, CAT_209, CAT_012, CAT_213, CAT_029",101,51
8366,"CAT_093, CAT_218, CAT_074, CAT_123",112,38
8367,"CAT_221, CAT_120, CAT_149, CAT_190",102,41
8368,"CAT_175, CAT_196, CAT_121, CAT_188, CAT_036, CAT_181",102,41
8369,"CAT_145, CAT_162, CAT_198, CAT_129, CAT_046",140,60
8370,"CAT_220, CAT_181, CAT_091, CAT_193, CAT_115",106,39
8371,"CAT_027, CAT_067, CAT_166, CAT_143",132,50
8372,"CAT_055, CAT_163, CAT_205, CAT_026, CAT_167, CAT_137",116,42
8373,"CAT_147, CAT_102, CAT_098, CAT_133",118,47
8374,"CAT_060, CAT_002, CAT_029, CAT_066",140,56
8375,"CAT_060, CAT_176, CAT_088, CAT_092, CAT_095",102,49
8376,"CAT_047, CAT_123, CAT_052, CAT_161, CAT_037",124,44
8377,"CAT_143, CAT_109, CAT_166, CAT_157, CAT_176, CAT_120",94,41
8378,"CAT_204, CAT_077, CAT_145, CAT_040",115,49
8379,"CAT_077, CAT_058, CAT_222, CAT_097",146,65
8380,"CAT_158, CAT_021, CAT_163, CAT_176, CAT_104",116,44
8381,"CAT_005, CAT_202, CAT_222, CAT_102, CAT_155",129,55
8382,"CAT_136, CAT_087, CAT_065, CAT_061",131,43
8383,"CAT_078, CAT_111, CAT_106, CAT_201",127,50
8384,"CAT_205, CAT_207, CAT_137, CAT_038",150,57
8385,"CAT_058, CAT_152, CAT_145, CAT_210",116,38
8386,"CAT_025, CAT_206, CAT_203, CAT_055, CAT_180",134,50
8387,"CAT_184, CAT_174, CAT_115, CAT_180, CAT_159",128,49
8388,"CAT_025, CAT_092, CAT_071, CAT_034, CAT_144",119,48
8389,"CAT_187, CAT_117, CAT_099, CAT_108, CAT_026, CAT_208",101,40
8390,"CAT_134, CAT_076, CAT_111, CAT_120, CAT_135, CAT_038",104,41
8391,"CAT_222, CAT_195, CAT_217, CAT_134",145,47
8392,"CAT_152, CAT_166, CAT_181, CAT_113, CAT_016",126,48
8393,"CAT_150, CAT_198, CAT_119, CAT_087, CAT_022",127,61
8394,"CAT_009, CAT_033, CAT_086, CAT_151, CAT_037",128,44
8395,"CAT_110, CAT_064, CAT_102, CAT_094",133,42
8396,"CAT_134, CAT_100, CAT_067, CAT_142, CAT_063",119,43
8397,"CAT_194, CAT_090, CAT_221, CAT_200",102,40
8398,"CAT_184, CAT_067, CAT_192, CAT_210, CAT_216, CAT_163",113,52
8399,"CAT_170, CAT_152, CAT_174, CAT_050, CAT_169",154,73
8400,"CAT_179, CAT_139, CAT_124, CAT_083, CAT_154",140,39
8401,"CAT_152, CAT_169, CAT_141, CAT_098, CAT_212",110,37
8402,"CAT_029, CAT_184, CAT_217, CAT_219, CAT_011, CAT_222",130,63
8403,"CAT_001, CAT_092, CAT_027, CAT_131",115,42
8404,"CAT_099, CAT_075, CAT_088, CAT_000, CAT_155",130,52
8405,"CAT_025, CAT_192, CAT_039, CAT_116, CAT_118",116,45
8406,"CAT_172, CAT_073, CAT_009, CAT_142, CAT_214",88,41
8407,"CAT_176, CAT_086, CAT_187, CAT_145",118,33
8408,"CAT_002, CAT_152, CAT_191, CAT_058, CAT_141, CAT_114",124,39
8409,"CAT_098, CAT_072, CAT_148, CAT_078",138,51
8410,"CAT_170, CAT_106, CAT_214, CAT_067",115,55
8411,"CAT_024, CAT_123, CAT_195, CAT_117, CAT_171",122,50
8412,"CAT_165, CAT_186, CAT_040, CAT_192, CAT_117, CAT_125",125,55
8413,"CAT_062, CAT_049, CAT_074, CAT_220, CAT_200",97,46
8414,"CAT_083, CAT_021, CAT_210, CAT_143, CAT_019",120,49
8415,"CAT_080, CAT_020, CAT_002, CAT_007",136,43
8416,"CAT_027, CAT_151, CAT_193, CAT_089, CAT_114, CAT_149",138,55
8417,"CAT_191, CAT_118, CAT_132, CAT_149, CAT_159",142,68
8418,"CAT_195, CAT_173, CAT_184, CAT_093, CAT_003, CAT_124",121,53
8419,"CAT_032, CAT_021, CAT_074, CAT_105, CAT_084, CAT_039",137,59
8420,"CAT_110, CAT_126, CAT_078, CAT_114",114,43
8421,"CAT_044, CAT_131, CAT_129, CAT_143",124,40
8422,"CAT_155, CAT_034, CAT_126, CAT_176",117,38
8423,"CAT_130, CAT_179, CAT_106, CAT_052",99,36
8424,"CAT_094, CAT_220, CAT_066, CAT_187, CAT_049",99,45
8425,"CAT_114, CAT_163, CAT_094, CAT_187, CAT_092",117,54
8426,"CAT_120, CAT_160, CAT_030, CAT_136, CAT_042, CAT_169",119,56
8427,"CAT_034, CAT_218, CAT_011, CAT_096, CAT_197, CAT_209",115,47
8428,"CAT_163, CAT_196, CAT_213, CAT_188",105,36
8429,"CAT_076, CAT_103, CAT_222, CAT_079",130,48
8430,"CAT_074, CAT_040, CAT_186, CAT_033, CAT_193, CAT_058",116,39
8431,"CAT_140, CAT_006, CAT_135, CAT_187, CAT_200, CAT_114",113,45
8432,"CAT_087, CAT_144, CAT_100, CAT_194, CAT_016, CAT_029",112,38
8433,"CAT_031, CAT_113, CAT_144, CAT_193, CAT_039",103,51
8434,"CAT_045, CAT_038, CAT_014, CAT_102, CAT_159",130,36
8435,"CAT_087, CAT_096, CAT_163, CAT_109, CAT_214, CAT_151",137,62
8436,"CAT_086, CAT_011, CAT_082, CAT_058",127,55
8437,"CAT_141, CAT_151, CAT_096, CAT_192, CAT_163, CAT_191",124,50
8438,"CAT_011, CAT_010, CAT_165, CAT_047",134,54
8439,"CAT_008, CAT_033, CAT_136, CAT_016, CAT_139",106,43
8440,"CAT_135, CAT_152, CAT_195, CAT_064",99,47
8441,"CAT_084, CAT_004, CAT_107, CAT_167, CAT_120",106,45
8442,"CAT_012, CAT_052, CAT_215, CAT_206",93,39
8443,"CAT_039, CAT_048, CAT_138, CAT_037",117,52
8444,"CAT_081, CAT_009, CAT_109, CAT_057",125,43
8445,"CAT_220, CAT_210, CAT_044, CAT_143, CAT_125, CAT_153",103,31
8446,"CAT_009, CAT_117, CAT_210, CAT_161, CAT_058, CAT_082",153,70
8447,"CAT_038, CAT_218, CAT_015, CAT_020",104,36
8448,"CAT_087, CAT_057, CAT_003, CAT_181",127,49
8449,"CAT_132, CAT_079, CAT_208, CAT_207, CAT_142, CAT_054",115,45
8450,"CAT_045, CAT_119, CAT_009, CAT_062, CAT_153, CAT_157",134,47
8451,"CAT_005, CAT_048, CAT_088, CAT_010, CAT_008, CAT_199",124,55
8452,"CAT_006, CAT_213, CAT_169, CAT_203, CAT_059",137,60
8453,"CAT_131, CAT_093, CAT_205, CAT_160",156,54
8454,"CAT_214, CAT_063, CAT_052, CAT_092",131,56
8455,"CAT_196, CAT_192, CAT_055, CAT_043, CAT_066, CAT_182",106,54
8456,"CAT_108, CAT_188, CAT_042, CAT_183, CAT_019, CAT_149",141,57
8457,"CAT_036, CAT_164, CAT_031, CAT_162",127,41
8458,"CAT_108, CAT_091, CAT_033, CAT_123, CAT_127",112,47
8459,"CAT_194, CAT_066, CAT_112, CAT_197",117,50
8460,"CAT_128, CAT_100, CAT_151, CAT_165",131,39
8461,"CAT_092, CAT_027, CAT_197, CAT_090",117,46
8462,"CAT_105, CAT_069, CAT_192, CAT_148, CAT_089",94,38
8463,"CAT_108, CAT_106, CAT_160, CAT_096, CAT_118, CAT_216",144,56
8464,"CAT_184, CAT_007, CAT_104, CAT_119, CAT_142",115,50
8465,"CAT_006, CAT_043, CAT_128, CAT_219",98,36
8466,"CAT_125, CAT_149, CAT_097, CAT_118",113,45
8467,"CAT_178, CAT_043, CAT_218, CAT_010, CAT_127, CAT_058",131,48
8468,"CAT_016, CAT_165, CAT_146, CAT_129",114,52
8469,"CAT_167, CAT_039, CAT_029, CAT_177, CAT_004, CAT_034",98,31
8470,"CAT_100, CAT_146, CAT_152, CAT_080, CAT_167",140,57
8471,"CAT_003, CAT_174, CAT_189, CAT_168",136,51
8472,"CAT_146, CAT_208, CAT_094, CAT_061",114,37
8473,"CAT_089, CAT_127, CAT_024, CAT_064",141,50
8474,"CAT_164, CAT_062, CAT_195, CAT_174, CAT_162",132,45
8475,"CAT_063, CAT_188, CAT_114, CAT_069, CAT_190, CAT_075",120,52
8476,"CAT_174, CAT_091, CAT_113, CAT_040, CAT_084, CAT_114",102,43
8477,"CAT_073, CAT_008, CAT_015, CAT_095, CAT_155, CAT_033",107,45
8478,"CAT_151, CAT_091, CAT_016, CAT_203, CAT_130, CAT_175",141,52
8479,"CAT_170, CAT_050, CAT_155, CAT_162, CAT_042",110,42
8480,"CAT_037, CAT_002, CAT_134, CAT_105, CAT_220, CAT_046",123,48
8481,"CAT_060, CAT_202, CAT_031, CAT_171",105,54
8482,"CAT_108, CAT_098, CAT_168, CAT_087, CAT_001, CAT_209",131,47
8483,"CAT_062, CAT_041, CAT_033, CAT_018",115,48
8484,"CAT_003, CAT_148, CAT_193, CAT_091, CAT_167",81,33
8485,"CAT_141, CAT_208, CAT_212, CAT_069, CAT_199",101,37
8486,"CAT_002, CAT_060, CAT_157, CAT_207, CAT_199, CAT_198",118,52
8487,"CAT_013, CAT_205, CAT_112, CAT_108, CAT_183, CAT_154",109,32
8488,"CAT_117, CAT_122, CAT_165, CAT_078, CAT_191",149,54
8489,"CAT_096, CAT_126, CAT_138, CAT_032, CAT_147",120,42
8490,"CAT_159, CAT_099, CAT_197, CAT_220",137,44
8491,"CAT_102, CAT_003, CAT_014, CAT_211, CAT_077",144,60
8492,"CAT_072, CAT_073, CAT_215, CAT_075, CAT_004",114,55
8493,"CAT_095, CAT_163, CAT_086, CAT_052, CAT_040, CAT_074",131,51
